img_path,gt_label,pred_label_base,raw_output_head
/home/betty/datasets/locount_class_samples/locount_class_samples/Electric Hot pot/000769_Electric Hot pot_count_1.jpg,Electric Hot pot,Unknown,"system \nYou are a classifier for retail product categories.\nGiven the image, choose EXACTLY ONE label from the list below.\nRules:\n1) Output MUST be exactly one label string from the list.\n2) No extra words, no punctuation, no explanation.\n3) If none match or unsure, output 'Unknown'.\n\nLabel list:\n- Adult Diapers\n- Adult hat\n- Adult milk powder\n- Adult shoes\n- Adult socks\n- Air conditioner\n- Air conditioning fan\n- Baby carriage\n- Baby crib\n- Baby diapers\n- Baby Furniture\n- Baby handkerchiefs\n- Ba"
/home/betty/datasets/locount_class_samples/locount_class_samples/Electric Hot pot/001484_Electric Hot pot_count_2.jpg,Electric Hot pot,Cooking wine,"system \nYou are a classifier for retail product categories.\nGiven the image, choose EXACTLY ONE label from the list below.\nRules:\n1) Output MUST be exactly one label string from the list.\n2) No extra words, no punctuation, no explanation.\n3) If none match or unsure, output 'Unknown'.\n\nLabel list:\n- Adult Diapers\n- Adult hat\n- Adult milk powder\n- Adult shoes\n- Adult socks\n- Air conditioner\n- Air conditioning fan\n- Baby carriage\n- Baby crib\n- Baby diapers\n- Baby Furniture\n- Baby handkerchiefs\n- Ba"
/home/betty/datasets/locount_class_samples/locount_class_samples/Electric Hot pot/001660_Electric Hot pot_count_3.jpg,Electric Hot pot,Cooking wine,"system \nYou are a classifier for retail product categories.\nGiven the image, choose EXACTLY ONE label from the list below.\nRules:\n1) Output MUST be exactly one label string from the list.\n2) No extra words, no punctuation, no explanation.\n3) If none match or unsure, output 'Unknown'.\n\nLabel list:\n- Adult Diapers\n- Adult hat\n- Adult milk powder\n- Adult shoes\n- Adult socks\n- Air conditioner\n- Air conditioning fan\n- Baby carriage\n- Baby crib\n- Baby diapers\n- Baby Furniture\n- Baby handkerchiefs\n- Ba"
/home/betty/datasets/locount_class_samples/locount_class_samples/Electric Hot pot/001660_Electric Hot pot_count_4.jpg,Electric Hot pot,Cooking wine,"system \nYou are a classifier for retail product categories.\nGiven the image, choose EXACTLY ONE label from the list below.\nRules:\n1) Output MUST be exactly one label string from the list.\n2) No extra words, no punctuation, no explanation.\n3) If none match or unsure, output 'Unknown'.\n\nLabel list:\n- Adult Diapers\n- Adult hat\n- Adult milk powder\n- Adult shoes\n- Adult socks\n- Air conditioner\n- Air conditioning fan\n- Baby carriage\n- Baby crib\n- Baby diapers\n- Baby Furniture\n- Baby handkerchiefs\n- Ba"
/home/betty/datasets/locount_class_samples/locount_class_samples/Electric Hot pot/002559_Electric Hot pot_count_5.jpg,Electric Hot pot,Cooking wine,"system \nYou are a classifier for retail product categories.\nGiven the image, choose EXACTLY ONE label from the list below.\nRules:\n1) Output MUST be exactly one label string from the list.\n2) No extra words, no punctuation, no explanation.\n3) If none match or unsure, output 'Unknown'.\n\nLabel list:\n- Adult Diapers\n- Adult hat\n- Adult milk powder\n- Adult shoes\n- Adult socks\n- Air conditioner\n- Air conditioning fan\n- Baby carriage\n- Baby crib\n- Baby diapers\n- Baby Furniture\n- Baby handkerchiefs\n- Ba"
/home/betty/datasets/locount_class_samples/locount_class_samples/Electric Hot pot/002559_Electric Hot pot_count_6.jpg,Electric Hot pot,Cooking wine,"system \nYou are a classifier for retail product categories.\nGiven the image, choose EXACTLY ONE label from the list below.\nRules:\n1) Output MUST be exactly one label string from the list.\n2) No extra words, no punctuation, no explanation.\n3) If none match or unsure, output 'Unknown'.\n\nLabel list:\n- Adult Diapers\n- Adult hat\n- Adult milk powder\n- Adult shoes\n- Adult socks\n- Air conditioner\n- Air conditioning fan\n- Baby carriage\n- Baby crib\n- Baby diapers\n- Baby Furniture\n- Baby handkerchiefs\n- Ba"
/home/betty/datasets/locount_class_samples/locount_class_samples/Electric Hot pot/002573_Electric Hot pot_count_7.jpg,Electric Hot pot,Cooking wine,"system \nYou are a classifier for retail product categories.\nGiven the image, choose EXACTLY ONE label from the list below.\nRules:\n1) Output MUST be exactly one label string from the list.\n2) No extra words, no punctuation, no explanation.\n3) If none match or unsure, output 'Unknown'.\n\nLabel list:\n- Adult Diapers\n- Adult hat\n- Adult milk powder\n- Adult shoes\n- Adult socks\n- Air conditioner\n- Air conditioning fan\n- Baby carriage\n- Baby crib\n- Baby diapers\n- Baby Furniture\n- Baby handkerchiefs\n- Ba"
/home/betty/datasets/locount_class_samples/locount_class_samples/Electric Hot pot/002723_Electric Hot pot_count_10.jpg,Electric Hot pot,Cooking wine,"system \nYou are a classifier for retail product categories.\nGiven the image, choose EXACTLY ONE label from the list below.\nRules:\n1) Output MUST be exactly one label string from the list.\n2) No extra words, no punctuation, no explanation.\n3) If none match or unsure, output 'Unknown'.\n\nLabel list:\n- Adult Diapers\n- Adult hat\n- Adult milk powder\n- Adult shoes\n- Adult socks\n- Air conditioner\n- Air conditioning fan\n- Baby carriage\n- Baby crib\n- Baby diapers\n- Baby Furniture\n- Baby handkerchiefs\n- Ba"
/home/betty/datasets/locount_class_samples/locount_class_samples/Electric Hot pot/002723_Electric Hot pot_count_8.jpg,Electric Hot pot,Cooking wine,"system \nYou are a classifier for retail product categories.\nGiven the image, choose EXACTLY ONE label from the list below.\nRules:\n1) Output MUST be exactly one label string from the list.\n2) No extra words, no punctuation, no explanation.\n3) If none match or unsure, output 'Unknown'.\n\nLabel list:\n- Adult Diapers\n- Adult hat\n- Adult milk powder\n- Adult shoes\n- Adult socks\n- Air conditioner\n- Air conditioning fan\n- Baby carriage\n- Baby crib\n- Baby diapers\n- Baby Furniture\n- Baby handkerchiefs\n- Ba"
/home/betty/datasets/locount_class_samples/locount_class_samples/Electric Hot pot/002723_Electric Hot pot_count_9.jpg,Electric Hot pot,Cooking wine,"system \nYou are a classifier for retail product categories.\nGiven the image, choose EXACTLY ONE label from the list below.\nRules:\n1) Output MUST be exactly one label string from the list.\n2) No extra words, no punctuation, no explanation.\n3) If none match or unsure, output 'Unknown'.\n\nLabel list:\n- Adult Diapers\n- Adult hat\n- Adult milk powder\n- Adult shoes\n- Adult socks\n- Air conditioner\n- Air conditioning fan\n- Baby carriage\n- Baby crib\n- Baby diapers\n- Baby Furniture\n- Baby handkerchiefs\n- Ba"
/home/betty/datasets/locount_class_samples/locount_class_samples/Electric fan/000241_Electric fan_count_1.jpg,Electric fan,Unknown,"system \nYou are a classifier for retail product categories.\nGiven the image, choose EXACTLY ONE label from the list below.\nRules:\n1) Output MUST be exactly one label string from the list.\n2) No extra words, no punctuation, no explanation.\n3) If none match or unsure, output 'Unknown'.\n\nLabel list:\n- Adult Diapers\n- Adult hat\n- Adult milk powder\n- Adult shoes\n- Adult socks\n- Air conditioner\n- Air conditioning fan\n- Baby carriage\n- Baby crib\n- Baby diapers\n- Baby Furniture\n- Baby handkerchiefs\n- Ba"
/home/betty/datasets/locount_class_samples/locount_class_samples/Electric fan/000241_Electric fan_count_2.jpg,Electric fan,Unknown,"system \nYou are a classifier for retail product categories.\nGiven the image, choose EXACTLY ONE label from the list below.\nRules:\n1) Output MUST be exactly one label string from the list.\n2) No extra words, no punctuation, no explanation.\n3) If none match or unsure, output 'Unknown'.\n\nLabel list:\n- Adult Diapers\n- Adult hat\n- Adult milk powder\n- Adult shoes\n- Adult socks\n- Air conditioner\n- Air conditioning fan\n- Baby carriage\n- Baby crib\n- Baby diapers\n- Baby Furniture\n- Baby handkerchiefs\n- Ba"
/home/betty/datasets/locount_class_samples/locount_class_samples/Electric fan/000241_Electric fan_count_3.jpg,Electric fan,Unknown,"system \nYou are a classifier for retail product categories.\nGiven the image, choose EXACTLY ONE label from the list below.\nRules:\n1) Output MUST be exactly one label string from the list.\n2) No extra words, no punctuation, no explanation.\n3) If none match or unsure, output 'Unknown'.\n\nLabel list:\n- Adult Diapers\n- Adult hat\n- Adult milk powder\n- Adult shoes\n- Adult socks\n- Air conditioner\n- Air conditioning fan\n- Baby carriage\n- Baby crib\n- Baby diapers\n- Baby Furniture\n- Baby handkerchiefs\n- Ba"
/home/betty/datasets/locount_class_samples/locount_class_samples/Electric fan/000241_Electric fan_count_4.jpg,Electric fan,Air conditioner,"system \nYou are a classifier for retail product categories.\nGiven the image, choose EXACTLY ONE label from the list below.\nRules:\n1) Output MUST be exactly one label string from the list.\n2) No extra words, no punctuation, no explanation.\n3) If none match or unsure, output 'Unknown'.\n\nLabel list:\n- Adult Diapers\n- Adult hat\n- Adult milk powder\n- Adult shoes\n- Adult socks\n- Air conditioner\n- Air conditioning fan\n- Baby carriage\n- Baby crib\n- Baby diapers\n- Baby Furniture\n- Baby handkerchiefs\n- Ba"
/home/betty/datasets/locount_class_samples/locount_class_samples/Electric fan/000241_Electric fan_count_5.jpg,Electric fan,Unknown,"system \nYou are a classifier for retail product categories.\nGiven the image, choose EXACTLY ONE label from the list below.\nRules:\n1) Output MUST be exactly one label string from the list.\n2) No extra words, no punctuation, no explanation.\n3) If none match or unsure, output 'Unknown'.\n\nLabel list:\n- Adult Diapers\n- Adult hat\n- Adult milk powder\n- Adult shoes\n- Adult socks\n- Air conditioner\n- Air conditioning fan\n- Baby carriage\n- Baby crib\n- Baby diapers\n- Baby Furniture\n- Baby handkerchiefs\n- Ba"
/home/betty/datasets/locount_class_samples/locount_class_samples/Electric fan/000241_Electric fan_count_6.jpg,Electric fan,Adult Diapers,"system \nYou are a classifier for retail product categories.\nGiven the image, choose EXACTLY ONE label from the list below.\nRules:\n1) Output MUST be exactly one label string from the list.\n2) No extra words, no punctuation, no explanation.\n3) If none match or unsure, output 'Unknown'.\n\nLabel list:\n- Adult Diapers\n- Adult hat\n- Adult milk powder\n- Adult shoes\n- Adult socks\n- Air conditioner\n- Air conditioning fan\n- Baby carriage\n- Baby crib\n- Baby diapers\n- Baby Furniture\n- Baby handkerchiefs\n- Ba"
/home/betty/datasets/locount_class_samples/locount_class_samples/Electric fan/000241_Electric fan_count_7.jpg,Electric fan,Air conditioner,"system \nYou are a classifier for retail product categories.\nGiven the image, choose EXACTLY ONE label from the list below.\nRules:\n1) Output MUST be exactly one label string from the list.\n2) No extra words, no punctuation, no explanation.\n3) If none match or unsure, output 'Unknown'.\n\nLabel list:\n- Adult Diapers\n- Adult hat\n- Adult milk powder\n- Adult shoes\n- Adult socks\n- Air conditioner\n- Air conditioning fan\n- Baby carriage\n- Baby crib\n- Baby diapers\n- Baby Furniture\n- Baby handkerchiefs\n- Ba"
/home/betty/datasets/locount_class_samples/locount_class_samples/Electric fan/000241_Electric fan_count_8.jpg,Electric fan,Unknown,"system \nYou are a classifier for retail product categories.\nGiven the image, choose EXACTLY ONE label from the list below.\nRules:\n1) Output MUST be exactly one label string from the list.\n2) No extra words, no punctuation, no explanation.\n3) If none match or unsure, output 'Unknown'.\n\nLabel list:\n- Adult Diapers\n- Adult hat\n- Adult milk powder\n- Adult shoes\n- Adult socks\n- Air conditioner\n- Air conditioning fan\n- Baby carriage\n- Baby crib\n- Baby diapers\n- Baby Furniture\n- Baby handkerchiefs\n- Ba"
/home/betty/datasets/locount_class_samples/locount_class_samples/Electric fan/000241_Electric fan_count_9.jpg,Electric fan,Unknown,"system \nYou are a classifier for retail product categories.\nGiven the image, choose EXACTLY ONE label from the list below.\nRules:\n1) Output MUST be exactly one label string from the list.\n2) No extra words, no punctuation, no explanation.\n3) If none match or unsure, output 'Unknown'.\n\nLabel list:\n- Adult Diapers\n- Adult hat\n- Adult milk powder\n- Adult shoes\n- Adult socks\n- Air conditioner\n- Air conditioning fan\n- Baby carriage\n- Baby crib\n- Baby diapers\n- Baby Furniture\n- Baby handkerchiefs\n- Ba"
/home/betty/datasets/locount_class_samples/locount_class_samples/Electric fan/002093_Electric fan_count_10.jpg,Electric fan,Unknown,"system \nYou are a classifier for retail product categories.\nGiven the image, choose EXACTLY ONE label from the list below.\nRules:\n1) Output MUST be exactly one label string from the list.\n2) No extra words, no punctuation, no explanation.\n3) If none match or unsure, output 'Unknown'.\n\nLabel list:\n- Adult Diapers\n- Adult hat\n- Adult milk powder\n- Adult shoes\n- Adult socks\n- Air conditioner\n- Air conditioning fan\n- Baby carriage\n- Baby crib\n- Baby diapers\n- Baby Furniture\n- Baby handkerchiefs\n- Ba"
/home/betty/datasets/locount_class_samples/locount_class_samples/Electric frying pan/000323_Electric frying pan_count_1.jpg,Electric frying pan,Adult shoes,"system \nYou are a classifier for retail product categories.\nGiven the image, choose EXACTLY ONE label from the list below.\nRules:\n1) Output MUST be exactly one label string from the list.\n2) No extra words, no punctuation, no explanation.\n3) If none match or unsure, output 'Unknown'.\n\nLabel list:\n- Adult Diapers\n- Adult hat\n- Adult milk powder\n- Adult shoes\n- Adult socks\n- Air conditioner\n- Air conditioning fan\n- Baby carriage\n- Baby crib\n- Baby diapers\n- Baby Furniture\n- Baby handkerchiefs\n- Ba"
/home/betty/datasets/locount_class_samples/locount_class_samples/Electric frying pan/000323_Electric frying pan_count_2.jpg,Electric frying pan,Cooking wine,"system \nYou are a classifier for retail product categories.\nGiven the image, choose EXACTLY ONE label from the list below.\nRules:\n1) Output MUST be exactly one label string from the list.\n2) No extra words, no punctuation, no explanation.\n3) If none match or unsure, output 'Unknown'.\n\nLabel list:\n- Adult Diapers\n- Adult hat\n- Adult milk powder\n- Adult shoes\n- Adult socks\n- Air conditioner\n- Air conditioning fan\n- Baby carriage\n- Baby crib\n- Baby diapers\n- Baby Furniture\n- Baby handkerchiefs\n- Ba"
/home/betty/datasets/locount_class_samples/locount_class_samples/Electric frying pan/000323_Electric frying pan_count_3.jpg,Electric frying pan,Cooking wine,"system \nYou are a classifier for retail product categories.\nGiven the image, choose EXACTLY ONE label from the list below.\nRules:\n1) Output MUST be exactly one label string from the list.\n2) No extra words, no punctuation, no explanation.\n3) If none match or unsure, output 'Unknown'.\n\nLabel list:\n- Adult Diapers\n- Adult hat\n- Adult milk powder\n- Adult shoes\n- Adult socks\n- Air conditioner\n- Air conditioning fan\n- Baby carriage\n- Baby crib\n- Baby diapers\n- Baby Furniture\n- Baby handkerchiefs\n- Ba"
/home/betty/datasets/locount_class_samples/locount_class_samples/Electric frying pan/000359_Electric frying pan_count_4.jpg,Electric frying pan,Cooking wine,"system \nYou are a classifier for retail product categories.\nGiven the image, choose EXACTLY ONE label from the list below.\nRules:\n1) Output MUST be exactly one label string from the list.\n2) No extra words, no punctuation, no explanation.\n3) If none match or unsure, output 'Unknown'.\n\nLabel list:\n- Adult Diapers\n- Adult hat\n- Adult milk powder\n- Adult shoes\n- Adult socks\n- Air conditioner\n- Air conditioning fan\n- Baby carriage\n- Baby crib\n- Baby diapers\n- Baby Furniture\n- Baby handkerchiefs\n- Ba"
/home/betty/datasets/locount_class_samples/locount_class_samples/Electric frying pan/000359_Electric frying pan_count_5.jpg,Electric frying pan,Cooking wine,"system \nYou are a classifier for retail product categories.\nGiven the image, choose EXACTLY ONE label from the list below.\nRules:\n1) Output MUST be exactly one label string from the list.\n2) No extra words, no punctuation, no explanation.\n3) If none match or unsure, output 'Unknown'.\n\nLabel list:\n- Adult Diapers\n- Adult hat\n- Adult milk powder\n- Adult shoes\n- Adult socks\n- Air conditioner\n- Air conditioning fan\n- Baby carriage\n- Baby crib\n- Baby diapers\n- Baby Furniture\n- Baby handkerchiefs\n- Ba"
/home/betty/datasets/locount_class_samples/locount_class_samples/Electric frying pan/000769_Electric frying pan_count_6.jpg,Electric frying pan,Unknown,"system \nYou are a classifier for retail product categories.\nGiven the image, choose EXACTLY ONE label from the list below.\nRules:\n1) Output MUST be exactly one label string from the list.\n2) No extra words, no punctuation, no explanation.\n3) If none match or unsure, output 'Unknown'.\n\nLabel list:\n- Adult Diapers\n- Adult hat\n- Adult milk powder\n- Adult shoes\n- Adult socks\n- Air conditioner\n- Air conditioning fan\n- Baby carriage\n- Baby crib\n- Baby diapers\n- Baby Furniture\n- Baby handkerchiefs\n- Ba"
/home/betty/datasets/locount_class_samples/locount_class_samples/Electric frying pan/001007_Electric frying pan_count_7.jpg,Electric frying pan,Cooking wine,"system \nYou are a classifier for retail product categories.\nGiven the image, choose EXACTLY ONE label from the list below.\nRules:\n1) Output MUST be exactly one label string from the list.\n2) No extra words, no punctuation, no explanation.\n3) If none match or unsure, output 'Unknown'.\n\nLabel list:\n- Adult Diapers\n- Adult hat\n- Adult milk powder\n- Adult shoes\n- Adult socks\n- Air conditioner\n- Air conditioning fan\n- Baby carriage\n- Baby crib\n- Baby diapers\n- Baby Furniture\n- Baby handkerchiefs\n- Ba"
/home/betty/datasets/locount_class_samples/locount_class_samples/Electric frying pan/001007_Electric frying pan_count_8.jpg,Electric frying pan,Cooking wine,"system \nYou are a classifier for retail product categories.\nGiven the image, choose EXACTLY ONE label from the list below.\nRules:\n1) Output MUST be exactly one label string from the list.\n2) No extra words, no punctuation, no explanation.\n3) If none match or unsure, output 'Unknown'.\n\nLabel list:\n- Adult Diapers\n- Adult hat\n- Adult milk powder\n- Adult shoes\n- Adult socks\n- Air conditioner\n- Air conditioning fan\n- Baby carriage\n- Baby crib\n- Baby diapers\n- Baby Furniture\n- Baby handkerchiefs\n- Ba"
/home/betty/datasets/locount_class_samples/locount_class_samples/Electric frying pan/001050_Electric frying pan_count_10.jpg,Electric frying pan,Cooking wine,"system \nYou are a classifier for retail product categories.\nGiven the image, choose EXACTLY ONE label from the list below.\nRules:\n1) Output MUST be exactly one label string from the list.\n2) No extra words, no punctuation, no explanation.\n3) If none match or unsure, output 'Unknown'.\n\nLabel list:\n- Adult Diapers\n- Adult hat\n- Adult milk powder\n- Adult shoes\n- Adult socks\n- Air conditioner\n- Air conditioning fan\n- Baby carriage\n- Baby crib\n- Baby diapers\n- Baby Furniture\n- Baby handkerchiefs\n- Ba"
/home/betty/datasets/locount_class_samples/locount_class_samples/Electric frying pan/001050_Electric frying pan_count_9.jpg,Electric frying pan,Cooking wine,"system \nYou are a classifier for retail product categories.\nGiven the image, choose EXACTLY ONE label from the list below.\nRules:\n1) Output MUST be exactly one label string from the list.\n2) No extra words, no punctuation, no explanation.\n3) If none match or unsure, output 'Unknown'.\n\nLabel list:\n- Adult Diapers\n- Adult hat\n- Adult milk powder\n- Adult shoes\n- Adult socks\n- Air conditioner\n- Air conditioning fan\n- Baby carriage\n- Baby crib\n- Baby diapers\n- Baby Furniture\n- Baby handkerchiefs\n- Ba"
/home/betty/datasets/locount_class_samples/locount_class_samples/Electric iron/000885_Electric iron_count_1.jpg,Electric iron,Unknown,"system \nYou are a classifier for retail product categories.\nGiven the image, choose EXACTLY ONE label from the list below.\nRules:\n1) Output MUST be exactly one label string from the list.\n2) No extra words, no punctuation, no explanation.\n3) If none match or unsure, output 'Unknown'.\n\nLabel list:\n- Adult Diapers\n- Adult hat\n- Adult milk powder\n- Adult shoes\n- Adult socks\n- Air conditioner\n- Air conditioning fan\n- Baby carriage\n- Baby crib\n- Baby diapers\n- Baby Furniture\n- Baby handkerchiefs\n- Ba"
/home/betty/datasets/locount_class_samples/locount_class_samples/Electric iron/000885_Electric iron_count_10.jpg,Electric iron,Adult Diapers,"system \nYou are a classifier for retail product categories.\nGiven the image, choose EXACTLY ONE label from the list below.\nRules:\n1) Output MUST be exactly one label string from the list.\n2) No extra words, no punctuation, no explanation.\n3) If none match or unsure, output 'Unknown'.\n\nLabel list:\n- Adult Diapers\n- Adult hat\n- Adult milk powder\n- Adult shoes\n- Adult socks\n- Air conditioner\n- Air conditioning fan\n- Baby carriage\n- Baby crib\n- Baby diapers\n- Baby Furniture\n- Baby handkerchiefs\n- Ba"
/home/betty/datasets/locount_class_samples/locount_class_samples/Electric iron/000885_Electric iron_count_2.jpg,Electric iron,Unknown,"system \nYou are a classifier for retail product categories.\nGiven the image, choose EXACTLY ONE label from the list below.\nRules:\n1) Output MUST be exactly one label string from the list.\n2) No extra words, no punctuation, no explanation.\n3) If none match or unsure, output 'Unknown'.\n\nLabel list:\n- Adult Diapers\n- Adult hat\n- Adult milk powder\n- Adult shoes\n- Adult socks\n- Air conditioner\n- Air conditioning fan\n- Baby carriage\n- Baby crib\n- Baby diapers\n- Baby Furniture\n- Baby handkerchiefs\n- Ba"
/home/betty/datasets/locount_class_samples/locount_class_samples/Electric iron/000885_Electric iron_count_3.jpg,Electric iron,Unknown,"system \nYou are a classifier for retail product categories.\nGiven the image, choose EXACTLY ONE label from the list below.\nRules:\n1) Output MUST be exactly one label string from the list.\n2) No extra words, no punctuation, no explanation.\n3) If none match or unsure, output 'Unknown'.\n\nLabel list:\n- Adult Diapers\n- Adult hat\n- Adult milk powder\n- Adult shoes\n- Adult socks\n- Air conditioner\n- Air conditioning fan\n- Baby carriage\n- Baby crib\n- Baby diapers\n- Baby Furniture\n- Baby handkerchiefs\n- Ba"
/home/betty/datasets/locount_class_samples/locount_class_samples/Electric iron/000885_Electric iron_count_4.jpg,Electric iron,Unknown,"system \nYou are a classifier for retail product categories.\nGiven the image, choose EXACTLY ONE label from the list below.\nRules:\n1) Output MUST be exactly one label string from the list.\n2) No extra words, no punctuation, no explanation.\n3) If none match or unsure, output 'Unknown'.\n\nLabel list:\n- Adult Diapers\n- Adult hat\n- Adult milk powder\n- Adult shoes\n- Adult socks\n- Air conditioner\n- Air conditioning fan\n- Baby carriage\n- Baby crib\n- Baby diapers\n- Baby Furniture\n- Baby handkerchiefs\n- Ba"
/home/betty/datasets/locount_class_samples/locount_class_samples/Electric iron/000885_Electric iron_count_5.jpg,Electric iron,Unknown,"system \nYou are a classifier for retail product categories.\nGiven the image, choose EXACTLY ONE label from the list below.\nRules:\n1) Output MUST be exactly one label string from the list.\n2) No extra words, no punctuation, no explanation.\n3) If none match or unsure, output 'Unknown'.\n\nLabel list:\n- Adult Diapers\n- Adult hat\n- Adult milk powder\n- Adult shoes\n- Adult socks\n- Air conditioner\n- Air conditioning fan\n- Baby carriage\n- Baby crib\n- Baby diapers\n- Baby Furniture\n- Baby handkerchiefs\n- Ba"
/home/betty/datasets/locount_class_samples/locount_class_samples/Electric iron/000885_Electric iron_count_6.jpg,Electric iron,Unknown,"system \nYou are a classifier for retail product categories.\nGiven the image, choose EXACTLY ONE label from the list below.\nRules:\n1) Output MUST be exactly one label string from the list.\n2) No extra words, no punctuation, no explanation.\n3) If none match or unsure, output 'Unknown'.\n\nLabel list:\n- Adult Diapers\n- Adult hat\n- Adult milk powder\n- Adult shoes\n- Adult socks\n- Air conditioner\n- Air conditioning fan\n- Baby carriage\n- Baby crib\n- Baby diapers\n- Baby Furniture\n- Baby handkerchiefs\n- Ba"
/home/betty/datasets/locount_class_samples/locount_class_samples/Electric iron/000885_Electric iron_count_7.jpg,Electric iron,Unknown,"system \nYou are a classifier for retail product categories.\nGiven the image, choose EXACTLY ONE label from the list below.\nRules:\n1) Output MUST be exactly one label string from the list.\n2) No extra words, no punctuation, no explanation.\n3) If none match or unsure, output 'Unknown'.\n\nLabel list:\n- Adult Diapers\n- Adult hat\n- Adult milk powder\n- Adult shoes\n- Adult socks\n- Air conditioner\n- Air conditioning fan\n- Baby carriage\n- Baby crib\n- Baby diapers\n- Baby Furniture\n- Baby handkerchiefs\n- Ba"
/home/betty/datasets/locount_class_samples/locount_class_samples/Electric iron/000885_Electric iron_count_8.jpg,Electric iron,Adult Diapers,"system \nYou are a classifier for retail product categories.\nGiven the image, choose EXACTLY ONE label from the list below.\nRules:\n1) Output MUST be exactly one label string from the list.\n2) No extra words, no punctuation, no explanation.\n3) If none match or unsure, output 'Unknown'.\n\nLabel list:\n- Adult Diapers\n- Adult hat\n- Adult milk powder\n- Adult shoes\n- Adult socks\n- Air conditioner\n- Air conditioning fan\n- Baby carriage\n- Baby crib\n- Baby diapers\n- Baby Furniture\n- Baby handkerchiefs\n- Ba"
/home/betty/datasets/locount_class_samples/locount_class_samples/Electric iron/000885_Electric iron_count_9.jpg,Electric iron,Unknown,"system \nYou are a classifier for retail product categories.\nGiven the image, choose EXACTLY ONE label from the list below.\nRules:\n1) Output MUST be exactly one label string from the list.\n2) No extra words, no punctuation, no explanation.\n3) If none match or unsure, output 'Unknown'.\n\nLabel list:\n- Adult Diapers\n- Adult hat\n- Adult milk powder\n- Adult shoes\n- Adult socks\n- Air conditioner\n- Air conditioning fan\n- Baby carriage\n- Baby crib\n- Baby diapers\n- Baby Furniture\n- Baby handkerchiefs\n- Ba"
/home/betty/datasets/locount_class_samples/locount_class_samples/Electric kettle/000041_Electric kettle_count_1.jpg,Electric kettle,Unknown,"system \nYou are a classifier for retail product categories.\nGiven the image, choose EXACTLY ONE label from the list below.\nRules:\n1) Output MUST be exactly one label string from the list.\n2) No extra words, no punctuation, no explanation.\n3) If none match or unsure, output 'Unknown'.\n\nLabel list:\n- Adult Diapers\n- Adult hat\n- Adult milk powder\n- Adult shoes\n- Adult socks\n- Air conditioner\n- Air conditioning fan\n- Baby carriage\n- Baby crib\n- Baby diapers\n- Baby Furniture\n- Baby handkerchiefs\n- Ba"
/home/betty/datasets/locount_class_samples/locount_class_samples/Electric kettle/000769_Electric kettle_count_4.jpg,Electric kettle,Coffee,"system \nYou are a classifier for retail product categories.\nGiven the image, choose EXACTLY ONE label from the list below.\nRules:\n1) Output MUST be exactly one label string from the list.\n2) No extra words, no punctuation, no explanation.\n3) If none match or unsure, output 'Unknown'.\n\nLabel list:\n- Adult Diapers\n- Adult hat\n- Adult milk powder\n- Adult shoes\n- Adult socks\n- Air conditioner\n- Air conditioning fan\n- Baby carriage\n- Baby crib\n- Baby diapers\n- Baby Furniture\n- Baby handkerchiefs\n- Ba"
/home/betty/datasets/locount_class_samples/locount_class_samples/Electric kettle/000769_Electric kettle_count_5.jpg,Electric kettle,Unknown,"system \nYou are a classifier for retail product categories.\nGiven the image, choose EXACTLY ONE label from the list below.\nRules:\n1) Output MUST be exactly one label string from the list.\n2) No extra words, no punctuation, no explanation.\n3) If none match or unsure, output 'Unknown'.\n\nLabel list:\n- Adult Diapers\n- Adult hat\n- Adult milk powder\n- Adult shoes\n- Adult socks\n- Air conditioner\n- Air conditioning fan\n- Baby carriage\n- Baby crib\n- Baby diapers\n- Baby Furniture\n- Baby handkerchiefs\n- Ba"
/home/betty/datasets/locount_class_samples/locount_class_samples/Electric kettle/000769_Electric kettle_count_6.jpg,Electric kettle,Air conditioner,"system \nYou are a classifier for retail product categories.\nGiven the image, choose EXACTLY ONE label from the list below.\nRules:\n1) Output MUST be exactly one label string from the list.\n2) No extra words, no punctuation, no explanation.\n3) If none match or unsure, output 'Unknown'.\n\nLabel list:\n- Adult Diapers\n- Adult hat\n- Adult milk powder\n- Adult shoes\n- Adult socks\n- Air conditioner\n- Air conditioning fan\n- Baby carriage\n- Baby crib\n- Baby diapers\n- Baby Furniture\n- Baby handkerchiefs\n- Ba"
/home/betty/datasets/locount_class_samples/locount_class_samples/Electric kettle/001067_Electric kettle_count_9.jpg,Electric kettle,Air conditioner,"system \nYou are a classifier for retail product categories.\nGiven the image, choose EXACTLY ONE label from the list below.\nRules:\n1) Output MUST be exactly one label string from the list.\n2) No extra words, no punctuation, no explanation.\n3) If none match or unsure, output 'Unknown'.\n\nLabel list:\n- Adult Diapers\n- Adult hat\n- Adult milk powder\n- Adult shoes\n- Adult socks\n- Air conditioner\n- Air conditioning fan\n- Baby carriage\n- Baby crib\n- Baby diapers\n- Baby Furniture\n- Baby handkerchiefs\n- Ba"
